iter	Passed	Remaining
840	7279	10032
841	7289	10024
842	7297	10015
843	7305	10006
844	7314	9998
845	7322	9988
846	7330	9978
847	7338	9968
848	7345	9958
849	7354	9949
850	7363	9941
851	7371	9932
852	7379	9923
853	7388	9914
854	7396	9904
855	7404	9895
856	7412	9885
857	7420	9876
858	7428	9866
859	7437	9859
860	7446	9850
861	7454	9841
862	7462	9831
863	7469	9820
864	7478	9812
865	7485	9802
866	7494	9794
867	7503	9785
868	7510	9774
869	7519	9766
870	7526	9756
871	7534	9747
872	7543	9737
873	7551	9728
874	7559	9719
875	7567	9709
876	7575	9699
877	7584	9692
878	7591	9681
879	7598	9671
880	7607	9662
881	7615	9653
882	7623	9644
883	7632	9635
884	7641	9627
885	7648	9616
886	7656	9607
887	7664	9598
888	7672	9588
889	7679	9578
890	7688	9569
891	7696	9559
892	7702	9548
893	7710	9538
894	7718	9529
895	7725	9518
896	7732	9508
897	7740	9499
898	7748	9489
899	7757	9480
900	7764	9470
901	7771	9459
902	7779	9450
903	7787	9442
904	7795	9431
905	7802	9422
906	7809	9411
907	7817	9401
908	7826	9393
909	7835	9385
910	7844	9377
911	7853	9369
912	7862	9361
913	7870	9351
914	7879	9343
915	7887	9334
916	7896	9325
917	7905	9318
918	7915	9310
919	7923	9301
920	7932	9293
921	7941	9284
922	7950	9276
923	7959	9268
924	7967	9259
925	7977	9252
926	7989	9247
927	8002	9243
928	8012	9237
929	8021	9229
930	8029	9220
931	8038	9211
932	8046	9202
933	8054	9193
934	8063	9184
935	8070	9174
936	8079	9165
937	8087	9156
938	8096	9148
939	8104	9139
940	8111	9128
941	8119	9119
942	8127	9109
943	8134	9099
944	8142	9090
945	8151	9082
946	8160	9074
947	8169	9065
948	8178	9057
949	8187	9049
950	8195	9039
951	8204	9031
952	8209	9019
953	8217	9010
954	8226	9002
955	8234	8992
956	8243	8984
957	8252	8975
958	8260	8966
959	8269	8958
960	8277	8949
961	8286	8940
962	8295	8932
963	8303	8923
964	8310	8913
965	8318	8904
966	8327	8895
967	8335	8886
968	8344	8878
969	8353	8870
970	8362	8861
971	8370	8853
972	8376	8840
973	8384	8831
974	8393	8824
975	8402	8815
976	8411	8807
977	8418	8797
978	8426	8788
979	8434	8779
980	8443	8770
981	8450	8760
982	8459	8751
983	8466	8742
984	8474	8732
985	8483	8723
986	8491	8715
987	8499	8706
988	8508	8697
989	8515	8687
990	8523	8678
991	8531	8669
992	8539	8660
993	8547	8651
994	8555	8641
995	8564	8633
996	8573	8624
997	8582	8616
998	8589	8606
999	8597	8597
1000	8607	8590
1001	8614	8580
1002	8623	8571
1003	8631	8562
1004	8639	8553
1005	8646	8543
1006	8654	8534
1007	8660	8523
1008	8668	8514
1009	8676	8504
1010	8684	8495
1011	8692	8486
1012	8701	8477
1013	8709	8468
1014	8717	8460
1015	8725	8451
1016	8733	8441
1017	8740	8431
1018	8748	8422
1019	8756	8413
1020	8765	8404
1021	8772	8394
1022	8777	8382
1023	8786	8374
1024	8793	8364
1025	8801	8355
1026	8809	8346
1027	8817	8337
1028	8825	8328
1029	8832	8318
1030	8841	8309
1031	8849	8300
1032	8857	8291
1033	8865	8282
1034	8874	8273
1035	8882	8265
1036	8889	8254
1037	8896	8245
1038	8905	8236
1039	8913	8227
1040	8921	8218
1041	8928	8208
1042	8936	8199
1043	8942	8188
1044	8950	8179
1045	8958	8170
1046	8967	8162
1047	8975	8153
1048	8983	8144
1049	8992	8136
1050	9000	8126
1051	9009	8118
1052	9017	8109
1053	9026	8101
1054	9034	8092
1055	9042	8083
1056	9049	8073
1057	9057	8064
1058	9067	8056
1059	9075	8048
1060	9084	8039
1061	9092	8030
1062	9100	8021
1063	9106	8011
1064	9115	8002
1065	9124	7994
1066	9132	7985
1067	9141	7977
1068	9146	7965
1069	9154	7956
1070	9162	7947
1071	9169	7938
1072	9178	7929
1073	9186	7920
1074	9195	7912
1075	9204	7903
1076	9212	7895
1077	9220	7886
1078	9229	7877
1079	9238	7869
1080	9246	7860
1081	9253	7850
1082	9259	7840
1083	9268	7832
1084	9276	7823
1085	9283	7813
1086	9291	7804
1087	9299	7795
1088	9306	7785
1089	9314	7776
1090	9322	7767
1091	9331	7758
1092	9338	7749
1093	9347	7740
1094	9355	7732
1095	9364	7724
1096	9373	7715
1097	9380	7706
1098	9388	7696
1099	9396	7687
1100	9405	7679
1101	9414	7671
1102	9421	7662
1103	9430	7653
1104	9438	7645
1105	9447	7636
1106	9456	7628
1107	9464	7619
1108	9473	7611
1109	9480	7601
1110	9488	7592
1111	9497	7584
1112	9505	7575
1113	9513	7566
1114	9521	7557
1115	9530	7548
1116	9537	7539
1117	9547	7531
1118	9556	7523
1119	9564	7515
1120	9573	7507
1121	9582	7498
1122	9589	7488
1123	9597	7480
1124	9606	7471
1125	9614	7463
1126	9622	7454
1127	9630	7445
1128	9638	7436
1129	9647	7427
1130	9656	7419
1131	9664	7410
1132	9672	7401
1133	9681	7393
1134	9687	7383
1135	9696	7374
1136	9703	7365
1137	9711	7356
1138	9720	7348
1139	9728	7339
1140	9736	7329
1141	9744	7321
1142	9752	7311
1143	9760	7303
1144	9768	7294
1145	9776	7285
1146	9784	7276
1147	9792	7267
1148	9801	7259
1149	9810	7251
1150	9821	7244
1151	9831	7237
1152	9840	7228
1153	9848	7220
1154	9858	7212
1155	9865	7202
1156	9874	7194
1157	9881	7185
1158	9890	7176
1159	9898	7167
1160	9907	7159
1161	9916	7151
1162	9925	7143
1163	9932	7133
1164	9940	7124
1165	9949	7116
1166	9957	7107
1167	9966	7099
1168	9973	7090
1169	9982	7081
1170	9990	7072
1171	9998	7063
1172	10007	7055
1173	10015	7046
1174	10024	7038
1175	10032	7029
1176	10040	7020
1177	10049	7012
1178	10057	7003
1179	10066	6995
1180	10074	6986
1181	10082	6977
1182	10089	6968
1183	10095	6957
1184	10104	6949
1185	10113	6941
1186	10121	6932
1187	10128	6922
1188	10136	6914
1189	10146	6906
1190	10152	6896
1191	10160	6887
1192	10168	6878
1193	10174	6868
1194	10181	6858
1195	10189	6849
1196	10197	6841
1197	10206	6832
1198	10218	6826
1199	10227	6818
1200	10237	6810
1201	10246	6802
1202	10255	6794
1203	10264	6786
1204	10272	6777
1205	10281	6768
1206	10290	6760
1207	10299	6752
1208	10306	6743
1209	10315	6734
1210	10323	6725
1211	10331	6716
1212	10339	6708
1213	10347	6699
1214	10357	6691
1215	10366	6683
1216	10375	6675
1217	10383	6666
1218	10391	6657
1219	10400	6649
1220	10408	6640
1221	10415	6631
1222	10424	6622
1223	10432	6613
1224	10439	6604
1225	10448	6596
1226	10456	6587
1227	10464	6578
1228	10473	6570
1229	10480	6560
1230	10488	6552
1231	10496	6543
1232	10505	6534
1233	10513	6526
1234	10521	6517
1235	10529	6508
1236	10538	6500
1237	10544	6490
1238	10552	6481
1239	10561	6473
1240	10570	6464
1241	10578	6456
1242	10586	6447
1243	10594	6438
1244	10603	6429
1245	10611	6421
1246	10619	6412
1247	10627	6403
1248	10635	6395
1249	10643	6386
1250	10651	6377
1251	10659	6368
1252	10668	6359
1253	10674	6350
1254	10682	6341
1255	10688	6331
1256	10696	6322
1257	10705	6314
1258	10712	6305
1259	10719	6295
1260	10727	6286
1261	10734	6277
1262	10743	6268
1263	10750	6259
1264	10759	6251
1265	10767	6242
1266	10776	6234
1267	10782	6224
1268	10789	6215
1269	10798	6206
1270	10806	6198
1271	10815	6189
1272	10825	6182
1273	10834	6174
1274	10843	6165
1275	10850	6156
1276	10859	6148
1277	10866	6138
1278	10875	6130
1279	10883	6122
1280	10891	6113
1281	10900	6104
1282	10908	6096
1283	10916	6087
1284	10924	6078
1285	10932	6069
1286	10940	6060
1287	10948	6052
1288	10953	6041
1289	10962	6033
1290	10970	6024
1291	10978	6016
1292	10986	6007
1293	10994	5998
1294	11003	5990
1295	11011	5981
1296	11019	5972
1297	11029	5964
1298	11036	5955
1299	11045	5947
1300	11051	5937
1301	11059	5929
1302	11068	5920
1303	11076	5912
1304	11085	5903
1305	11094	5895
1306	11101	5886
